company	url	picture	address	Area	tags	numOfEmplyee	category	contactEmail	contactPhone	contactName	description	twitter	facebookPage	latitude	longitude	isHiring	on logo map?	tofes?	Company Type	Comments	If your company is hiring, please add a link to the "open position" web page	~Year of establishment	~Are you familiar with the grants for Jerusalem based companies?	~Is your company looking to raise money?	~If yes- would you like to get more information about the grants?did	~If not - would you like to get more information about the grants?	~Is your company looking to raise money?	logo	Company	מקור	שם החברה באנגלית	שלוחות בחו"ל	מקור תיק לקוח	פקס	מגזר עסקי	מענק לחברות ביו	מוסד אקדמי	מעוניין בפניה יזומה	מענק הסתגלות	הוסף איש קשר ראשי כעובד חברה	מהות הפניה	ביו-גדול	מנכ"ל	ח.פ	השפעה על התאמת תוכניות הלימודים לצרכי התעשיה	תעסוקה	מסלול תעסוקה	כוונה לפתוח או להרחיב שלוחות	מסלול שכר גבוה	איזור תעשיה	שלוחות בישראל	שלוחות בירושלים	מעבדות	הקצאת קרקע	עובד עובר	תעסוקת חרדים	מסלול אחר	האם התקבלו מענקים קודמים	ביצוע מחקרים עם חוקרים באקדמיה	בעלים משני	מענק לחברות הזנק	מענק העסקת סטודנטים	כוונה לקלוט סטודנטים	תחום	מהנדסים/מתכנתים	עובדי הנהלה	עובדים אחרים	תאריך Round A	סכום Round A	תאריך Round B	סכום Round B	תאריך Seed	סכום Seed
אקווטל ישראל	http://www.equatel.com		הרטום 19	הר חוצבים		4	media		02-571035	גרי	ייצור ופיתוח של מערכות תקשורת לעולם השלישי			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.equatel.com">אקווטל ישראל</a>	הקובץ של הרל"י	Equatel Israel	כן	אחר	02-5714029	תקשורת	לא	לא	כן	לא	כן	אחר	לא	גרי	513737270	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא			3	1						
אקסקונקט	http://www.xconnect.net		גן טכנולוגי מלחה	Malcha			media		02-6218007	רייצ'ל דלי	VOIP			31.7698	35.21215	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.xconnect.net">אקסקונקט</a>	הקובץ של הרל"י	XConnect	לא	אחר	02-6788712	תקשורת	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
אר-נט טק	http://www.rnet-tec.com		הרטום 12, קומה 1-, הר חוצבים	HH		7	software		02-5711354	גילי בן שלמה	פיתוח מערכות מחשוב לנקודות מכירה במגוון תחומים ברחבי הארץ (חנויות, הנהלה, סלולר, תחנות נוחות ועוד)			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.rnet-tec.com">אר-נט טק</a>	הקובץ של הרל"י	Rnet Tec	לא	אחר	02-5860439	היי-טק	לא	לא	כן	לא	כן	אחר	לא	גילי בן שלמה	513817023	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	כן	כן	לא	לא		לא	לא	כן		3	1	3						
אתנה קרדיונט			עין רוגל 49	בחר איזור תעשיה					02-6711233	יורי אפלבאום	פארמה					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">אתנה קרדיונט</a>	הקובץ של הרל"י	Athena Cardionet	לא	הפניה	077-9304040	ביו-טק		לא	לא	לא		אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
אתר פלוס	http://www.atarplpl.co.il		גן טכנולוגי מלחה, בניין 9	גט"י מלחה		1	Service Provider / Outsource		02-6310246	חיים רוזנפלד	פיתוח תוכנה לגופים שונים כגון אקדמיה, ממשלה,אל-על, משטרה וכו'.			31.7698	35.21215	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.atarplpl.co.il">אתר פלוס</a>	הקובץ של הרל"י		לא	אחר		היי-טק	לא	לא	כן	לא	כן	מוסד אקדמי	לא	חיים רוזנפלד	514061001	לא	לא	לא	כן	לא		לא	לא	לא	כן	לא	לא	לא	לא	לא		לא	כן	כן		7	1	2						
בי אם אר סולושנס			סוקולוב 27	בחר איזור תעשיה						רונן קהנה	פאמרה					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">בי אם אר סולושנס</a>	הקובץ של הרל"י	BMR Solutions	לא	הפניה		ביו-טק		לא	לא	לא		אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
בי.אי.איי. מערכות רוקר	http://www.baesystems.com/		הרטום 11	הר חוצבים					02-5329888	בי.אי.איי. מערכות רוקר	תעשייה בטחונית					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.baesystems.com/">בי.אי.איי. מערכות רוקר</a>	הקובץ של הרל"י	BEA Systems rokar	כן	אתר אינטרנט		היי-טק	לא	לא	לא	לא	כן	בחר מהות הפניה	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
ביו קונטרול מדיקל בע"מ				בחר איזור תעשיה												Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">ביו קונטרול מדיקל בע"מ</a>	הקובץ של הרל"י	Bio Control Medical	לא	מודיעין עסקי - ביו		היי-טק		לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
ביוטן פארמה				אחר					052-3848507	Tamar Tennenbaum	יזמית סדרתית. מספר פעילויות על הפרק - הקמה של חברת סטארט אפ, הקמה של קונסורציום של פרויקטים בתחום הסרטן בשיתוף פעולה עם חברת פארמה, הקמת מפעל ייצור כימי לחומרי ספיגה.					Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">ביוטן פארמה</a>	הקובץ של הרל"י	Bioten Pharma	לא	אחר	02-6524599	ביו-טק	כן	לא	כן	כן	כן	הרחבת עסק בירושלים	לא	Tamar Tennenbaum		לא	לא	לא	כן	לא		לא	לא	כן	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	כן	לא										
ביוטרם			עמק ברכה	בחר איזור תעשיה					054-5375565	לבוביץ' שמיר	פארמה					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">ביוטרם</a>	הקובץ של הרל"י	Bioterm	לא	הפניה	03-6954711	ביו-טק		לא	לא	לא		מעבר לירושלים	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
ביוקום	http://www.biocom.co.il		הרטום 10	הר חוצבים		17	software	micb@biocom.co.il	02-6400500	מישאל בן שטרית	פיתוח וייצור מערכות ביטחון מבוססות ביומטריה של תווי פנים ותביעות אצבע			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.biocom.co.il">ביוקום</a>	הקובץ של הרל"י	Biocom	לא	אחר	02-6798899	היי-טק		כן	כן	לא	כן	אחר	לא	מישאל בן שטרית	514410927	לא	כן	לא	כן	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Yosef Apter	לא	כן	כן		4	5	3						
ביטאלנד הנדסת מערכות	http://www.betaland.co.il		הרטום 9	הר חוצבים			software	mail@betaland.co.il	02-5711540	ביטאלנד	Betaland Software Engineering specializes in software systems designed exclusively for small and large organizations			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.betaland.co.il">ביטאלנד הנדסת מערכות</a>	הקובץ של הרל"י	Betaland Software Engineering	לא	אחר	02-5711541	היי-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
בירון שירותי שפות			צאלון 168	בחר איזור תעשיה					077-343595	ד"ר אביאור ביירון	החברה מספקת שירותי תרגום ל-50 שפות					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">בירון שירותי שפות</a>	הקובץ של הרל"י	Byron	לא	מודיעין עסקי - מיקור חוץ	153-89420627	היי-טק		לא	לא	לא	כן	מעבר לירושלים	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Yosef Apter	לא	לא	לא										
בית הטריידר				בחר איזור תעשיה					054-2261771	מקסים זליגמן						Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">בית הטריידר</a>	הקובץ של הרל"י		לא	אחר		היי-טק	לא	לא	לא	כן	כן	הרחבת עסק בירושלים	לא		514609742	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
בית הספר לצילום מוסררה				אחר					02-6286519 שלוחה 109	נטע שלזינגר	מענק למיזמי תרבות במרחב הציבורי- חברת עדן					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">בית הספר לצילום מוסררה</a>	הקובץ של הרל"י		לא	אתר אינטרנט		אחר		לא	לא	לא	כן	מוסד אקדמי	לא	אבי סבג	580150761	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	כן	לא	לא		לא	לא	לא										
בריינסוויי (Brainsway Inc.)	http://www.brainsway.com/		המרפא 8	HH			medical		025813141	Uzi Sofer	החברה פיתחה מכשיר שפועל לגירוי עמוק של המוח לטיפול בהפרעות פסיכיאטריות ונוירולוגיות			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.brainsway.com/">בריינסוויי (Brainsway Inc.)</a>	הקובץ של הרל"י	Brainsway	לא	אחר		ביו-טק	כן	לא	לא	כן	כן	אחר	לא	Uzi Sofer		לא	לא	לא	לא	לא		לא	כן	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	כן										
בריינסטורם תרפיה תאית בע"מ 				בחר איזור תעשיה												Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">בריינסטורם תרפיה תאית בע"מ </a>	הקובץ של הרל"י	Brainstorm	לא	מודיעין עסקי - ביו		היי-טק		לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
ג'מה מדיקל	http://www.ilsi.org.il/companies_incubator_company.asp?ID=104		חממת ואן ליר, קמפוס האונ' העברית גבעת-רם	כפר היי-טק		2	medical		02-655-3333	רז בראון	פיתוח מערכת חדשנית למיפוי חשלמי של הקיבה לשם אבחון והצעת טיפול לחולים עם הפרעות בתנועתיות הקיבה כדוגמת גסטרופרסיס			31.782	35.2155	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.ilsi.org.il/companies_incubator_company.asp?ID=104">ג'מה מדיקל</a>	הקובץ של הרל"י	Gema medical	לא	אחר	02-566-1881	ביו-טק	לא	לא	כן	לא	כן	אחר	לא	רז בראון	514474725	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא			1							
גארד				בחר איזור תעשיה												Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">גארד</a>	הקובץ של הרל"י	Gard	לא	בחר מקור		היי-טק		לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
גליקומיינדס בע"מ 				בחר איזור תעשיה												Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">גליקומיינדס בע"מ </a>	הקובץ של הרל"י	Glycominds	לא	מודיעין עסקי - ביו		היי-טק		לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
גמאטרוניק תעשיות אלקטרוניות	http://www.gamatronic.co.il		הרטום 17	הר חוצבים			hardware		02-5888242	יוסי נעמת	פיתוח, ייצור, הרכבה, שיווק, מכירה וייצוא של מוצרים בתחום אלקרטוניקת ההספק			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.gamatronic.co.il">גמאטרוניק תעשיות אלקטרוניות</a>	הקובץ של הרל"י	Gamatronic Electronic Industries	לא	אחר	02-5828875	היי-טק	לא	לא	כן	לא	כן	אחר	לא	יוסי גורן	520041872	לא	כן	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
גרין סאן אנרג'י	http://www.greensun.biz/		המרפא 8	HH			software		054-4458804	סטיבן סייגלאוב	פיתוח ייצור ומכירת מערכות פאנלים סולאריים לייצור חשמל			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.greensun.biz/">גרין סאן אנרג'י</a>	הקובץ של הרל"י	GreenSun Energy	לא	אתר אינטרנט		היי-טק	לא	לא	לא	לא	כן	אחר	לא	אמנון לייקוביץ'		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
דטה טראק			Passstr. 9	הר חוצבים					-2339	טיגראן ארזומנוב	תוכנה לניהול ניסויים קליניים			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">דטה טראק</a>	הקובץ של הרל"י	DataTrak International	לא	הפניה	-4363	ביו-טק		לא	לא	לא		אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
דטהנט אי.טי.סי. מערכות			נחום חפצדי 5	גבעת שאול					000	דטהנט						Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">דטהנט אי.טי.סי. מערכות</a>	הקובץ של הרל"י	Datanet I.T.C. Systems	לא	אחר		היי-טק	לא	לא	לא	לא	כן	בחר מהות הפניה	לא		513030627	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
היי-שואו				בחר איזור תעשיה					052-2601265	יצחק גרשונוביץ	פיתוח טכנולוגי לסיוע לכבדי ראייה					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">היי-שואו</a>	הקובץ של הרל"י	Hi Show	לא	בחר מקור		היי-טק	לא	לא	לא	לא	כן	מעבר לירושלים	לא	יצחק גרשונוביץ		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
היל אפלייד מדיקל			גבעת רם 113	Givat Ram					052-2602128	שמוליק אייזנמן	מיכשור רפואי					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">היל אפלייד מדיקל</a>	הקובץ של הרל"י	HIL Applied Medical	לא	הפניה		היי-טק		לא	לא	לא		אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
ויזיוניקס	http://www.visionix.com		גט"י מלחה 9	Malcha				visionix@visionix.com	02-6797401	ויזיוניקס	VISIONIX develops, manufactures and distributes innovative equipment and provides a complete solution for ophthalmologists, optometrists, opticians and laboratories.			31.7698	35.21215	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.visionix.com">ויזיוניקס</a>	הקובץ של הרל"י	Visionix	לא	אחר	02-6797399	ביו-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
ויזימיקס			המרפא 8 ת.ד. 45170	HH					02-5870123	לאוניד ברגינסקי	Software of chemical engineering			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">ויזימיקס</a>	הקובץ של הרל"י	Visimix	לא	אחר	02-5870206	היי-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
ויקוי ננומדיסין			בר אילן 9	בחר איזור תעשיה					050-3834022	ארז ליבנה	פארמה					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">ויקוי ננומדיסין</a>	הקובץ של הרל"י	Vecoy Nanomedicines	לא	הפניה	09-8945623	ביו-טק		לא	לא	לא		מעבר לירושלים	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
זיו מערכות לתכנון בנייה	http://www.ziv.co.il		המרפא 8	HH		4	Software		02-5820666	ירון ברוך	פיתוח, שיווק ויישום תוכנה בתחום הנדל"ן, ומערכות ERP ו-SAP			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.ziv.co.il">זיו מערכות לתכנון בנייה</a>	הקובץ של הרל"י	ZIV systems	לא	אחר	02-5820606	היי-טק	לא	לא	כן	לא	כן	הרחבת עסק בירושלים	לא	ירון ברוך	התמחות בע"מ	לא	לא	כן	כן	כן		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן			10	15						
חגית בגנו	http://hagitbagno.co.il	http://www.hagitbagno.co.il/sites/default/files/mylogo_0.png	Nechama 1, Homat-Shmuel			1	Service Provider / Outsource	hagit.bagno@gmail.com	054-3913330	Hagit Bagno	מפתחת אתרים באינטרנט, בעלת ניסיון עשיר והכרות עמוקה עם עולם האינטרנט. פיתוח במגוון טכנולוגיות תוך שימוש בקוד פתוח ובאינטגרציה עם מערכות קיימות. פיתוח אתרי תדמית, אתרי תוכן, חנויות וירטואליות, פורטלים ארגוניים ועסקיים. 		https://www.facebook.com/hagit.bagno			Nope			Service Provider / Outsource				Yes	No				<img src="http://www.hagitbagno.co.il/sites/default/files/mylogo_0.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://hagitbagno.co.il">חגית בגנו</a>	הקובץ של MAdeinJLM	חגית בגנו																																										
טלדור	http://www.taldor.co.il/			גט"י מלחה					03-9298298	אייל טוכמן	פתרונות מידע ותפעול					Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.taldor.co.il/">טלדור</a>	הקובץ של הרל"י	Taldor	לא	אחר		היי-טק	לא	לא	לא	לא	כן	בחר מהות הפניה	לא	אריה רימיני		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
טליט תקשורת			נירים 11	בחר איזור תעשיה					03-7914000	גדעון רוגובסקי	החברה מפתחת ומייצרת מנועים סלולארים					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">טליט תקשורת</a>	הקובץ של הרל"י	Telit communication	לא	מודיעין עסקי - שכר גבוה		היי-טק		לא	לא	לא	כן	מעבר לירושלים	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Itzik Ozer	לא	לא	לא										
טנגו טק	http://www.tangotec.com/		הגן הטכנולוגי 1, מלחה	גט"י מלחה					02-5718555	רן דרור	חברת טנגוטק מפתחת צ'יפ התומך בתקן חדש להעברת אינטרנט על תשתיות ביתיות. לחברה ישנו סניף מכירות בירושלים והינה מוכרת גם בארה"ב. טנגוטק הינה חברה קטנה המונה כארבעה אנשים.			31.7698	35.21215	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.tangotec.com/">טנגו טק</a>	הקובץ של הרל"י	Tengo Tech	לא	אתר אינטרנט	02-5718556	היי-טק	לא	לא	לא	לא	כן	אחר	לא	רן דרור		לא	לא	לא	לא	לא		כן	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
טק או פארם ליברה	http://www.toplibra.co.il/		ת.ד. 45054, מרכז בק למדע	הר חוצבים				Main@toplibra.co.il	02-5870875	טק או פארם ליברה	חברת תרופות - הוקמה ב- 1992			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.toplibra.co.il/">טק או פארם ליברה</a>	הקובץ של הרל"י	Tech O Pharm	לא	אתר אינטרנט	02-5870873	ביו-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
יו.אס.אר. אלקטרוניק סיסטמס	http://www.usr.co.il		הרטום 12	הר חוצבים		13			02-5480505	שמעון אלגאלי	שירותים לייצור האלקטרוני (אולטרסאונד, לייזר) לתחום הצבאי, הרפאי והאזרחי			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.usr.co.il">יו.אס.אר. אלקטרוניק סיסטמס</a>	הקובץ של הרל"י	U.S.R. Electronic systems	לא	אחר	02-5868194	היי-טק	לא	כן	כן	לא	כן	הרחבת עסק בירושלים	לא	שמעון אלגאלי		לא	לא	לא	כן	לא		כן	לא	לא	לא	לא	לא	לא	כן	כן		לא	כן	כן			13							
יישום	http://www.yissum.co.il/		כפר ההייטק גבעת רם, ת.ד. 39135	Givat Ram		14		info@yissum.co.il	02-6586688	דנה גביש	Hebrew University Technology Transfer			31.782	35.2155	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.yissum.co.il/">יישום</a>	הקובץ של הרל"י	Yissum Technology Transfer	כן	אחר	02-5686689	אחר	לא	כן	כן	לא	כן	מוסד אקדמי	לא			כן	לא	לא	כן	לא		כן	כן	לא	כן	לא	לא	לא	לא	כן		לא	כן	כן			14							
כיאזמה	http://www.chiasmapharma.com		הרטום 10	הר חוצבים		45			02-571-5885	חיים אורלב	פיתוח תרופות זריקה			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.chiasmapharma.com">כיאזמה</a>	הקובץ של הרל"י	Chiasma	לא	אחר	02-571-5886	ביו-טק	כן	כן	כן	לא	כן	הרחבת עסק בירושלים	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	כן		לא	כן	כן		15	8	7						
כרימיסופט			השיש 10	בחר איזור תעשיה					072-2510833	חניתה פרידמן	החברה מספקת שירותי תוכנה ובדיקות תוכנהעבור ארגונים תעשייתים					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">כרימיסופט</a>	הקובץ של הרל"י	Karmisoft	לא	מודיעין עסקי - מיקור חוץ	04-9587733	היי-טק		לא	לא	לא	כן	מעבר לירושלים	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Yosef Apter	לא	לא	לא										
לאוקודקס	http://www.leukodx.com		המרפא 3	HH		7	Medical		02-6744422	ג'וליאן מייסונייר	פיתוח מכשור רפואי- טכנולוגיה של מדידת דם			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.leukodx.com">לאוקודקס</a>	הקובץ של הרל"י	Leuko DX	לא	אחר	02-6744455	ביו-טק	כן	לא	כן	לא	כן	הרחבת עסק בירושלים	לא	ג'וליאן מייסונייר		לא	כן	לא	כן	כן		לא	לא	לא	לא	כן	כן	לא	לא	לא		לא	לא	לא		3	2	2						
ליפוקיור				אחר					0544928601	Doron Friedman	שימוש בננו-ליפוזומים כאמצעי להחדרת תרופה. מפתחים 2 מוצרים עיקריים - לסרטן ולכאב. יזם החברה, פרופ' חזי ברנהולץ הוא יזם סדרתי וממציא תרופת הדוקסיל, המשווקת בעולם ע"י ג'ונסון. נמכרת במאות מיליונים בשנה.					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">ליפוקיור</a>	הקובץ של הרל"י	Lipocure	לא	אחר		ביו-טק	כן	לא	כן	כן	כן	הרחבת עסק בירושלים	לא	Barenholz Chezi		לא	לא	לא	לא	לא		לא	כן	לא	לא	כן	לא	לא	לא	לא		לא	כן	לא										
מאדרס צ'ויס	http://www.yandbmc.com/		כפר ההייטק 4/9 גבעת רם, ת.ד. 39231	Givat Ram					02-5610752	קלואי בובלי	פיתוח מוצרי קוסמטיקה לילדים			31.782	35.2155	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.yandbmc.com/">מאדרס צ'ויס</a>	הקובץ של הרל"י	Mothers Choice	לא	אחר	02-6541649	ביו-טק	לא	לא	לא	לא	כן	בחר מהות הפניה	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
מעבדות רפא	http://www.rafa.co.il		שלמה הלוי 5, ירושלים של כסף, כניסה A, ק'5	HH		18	pharma	rafa@rafa.co.ie	02-5893939	אולגה מרקין	ייצור ושיווק תרופות עם וללא מרשם			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.rafa.co.il">מעבדות רפא</a>	הקובץ של הרל"י	RAFA Laboratories	לא	אחר	02-5870280	ביו-טק	לא	כן	כן	לא	כן	הרחבת עסק בירושלים	לא	ירון זקהיים	510182462	כן	לא	לא	כן	לא		לא	כן	לא	כן	לא	לא	לא	לא	לא		לא	כן	כן			8	100						
מפי פארמה תאי גזע	http://www.mapi-pharma.com/			הר חוצבים					0506595980	Guy Krasny	פיתוח טיפול רפואי מבוסס על תאי גזע			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.mapi-pharma.com/">מפי פארמה תאי גזע</a>	הקובץ של הרל"י	MAPI Pharma Stem Cells	לא	אחר		ביו-טק	כן	לא	כן	כן		מעבר לירושלים	לא			לא	לא	לא	לא	כן		לא	לא	כן	לא	כן	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
מרוז מערכות תוכנה	http://www.merozsoftware.co.il		בית הדפוס 12, בית השנהב A	גבעת שאול		9	hardware		02-6527501	אילון מרוז	פיתוח תוכנה לפי הזמנה במגזר העסקי והממשלתי, ופיתוח תוכנה למכוני שמיעה ולניהול מבחנים ומבדקים			31.7941	35.2148	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.merozsoftware.co.il">מרוז מערכות תוכנה</a>	הקובץ של הרל"י	Meroz Software Systems	לא	אחר	02-6527508	היי-טק	לא	לא	כן	כן	כן	הרחבת עסק בירושלים	לא	אילון מרוז	511590869	לא	לא	לא	כן	לא		לא	לא	לא	כן	לא	כן	לא	לא	לא		לא	כן	כן		6	1	2						
